"","totsamplesize","obsprop","diff","simmedian","simsd","pvalue"
"OBFG",22,0.909090909090909,-0.430830039525692,-0.00922266139657435,0.114941590148954,7e-05
"OBFN",129,0.930232558139535,-0.451971688574317,-0.00202224469160772,0.0563031090713869,0
"OBMG",42,0.928571428571429,-0.450310559006211,-0.015527950310559,0.0873948060495676,0
"OOFG",7,0.714285714285714,-0.236024844720497,0.0641821946169773,0.194563072723139,0.11766
"OOFN",52,0.826923076923077,-0.348662207357859,-0.00445930880713485,0.0804526783619862,1e-05
"OOMG",8,0.75,-0.271739130434783,-0.00724637681159418,0.18257213903294,0.063
"OOMN",57,0.894736842105263,-0.416475972540046,0.00495804729214344,0.0772142872118062,0
"YBFG",10,0.8,-0.321739130434783,0,0.164391828491651,0.01758
"YBMG",9,0.777777777777778,-0.29951690821256,0.0555555555555556,0.171799223391461,0.03221
"YOFG",3,1,-0.521739130434783,0.159420289855073,0.293024452272636,0
"YOMG",12,0.416666666666667,0.0615942028985507,-0.0289855072463768,0.150587899058827,0.76865
